"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE913988945860";"Solarpark Kläden 1";"In Betrieb";"Solare Strahlungsenergie";"2230,8";"1848";"12/28/2011";"3/3/2020";"Sachsen-Anhalt";"39628";"Bismark";"Bülitzer Weg";"";"";"";"15090070";"52,642167";"11,655139";"11440";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/6/2021";"";"";"FP Lux Solar GmbH & Co. Kläden KG";"ABR992070642634";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL964289056564";"EEG948525928716";"E4187802S120000000000032940300001";"12/28/2011";"2230,8";"";"";"";"";""
"SEE964388378918";"P16313_BA1";"In Betrieb";"Solare Strahlungsenergie";"608,4";"468";"4/7/2017";"3/3/2020";"Brandenburg";"03253";"Doberlug-Kirchhain";"Finsterwalder Chaussee";"16 a";"";"";"12062092";"51,632449";"13,631595";"1872";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"3X Bankprojekt GmbH";"ABR922043861038";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL963600723406";"EEG956442515629";"E41081010000000000000000000252845";"4/5/2017";"608,4";"";"";"";"";""
"SEE978550926265";"Solarpark Kläden 2";"In Betrieb";"Solare Strahlungsenergie";"4226,1";"3696";"6/28/2012";"3/3/2020";"Sachsen-Anhalt";"39628";"Bismark";"Bülitzer Weg";"";"";"";"15090070";"52,642167";"11,655139";"21420";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/1/2021";"";"";"FP Lux Solar GmbH & Co. Kläden KG";"ABR992070642634";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL964289056564";"EEG982362893813";"E4187802S120000000000032940300002";"6/28/2012";"4226,1";"";"";"";"";""
"SEE937262271124";"Fläche Landhandel Drebkau";"In Betrieb";"Solare Strahlungsenergie";"748,8";"748,8";"2/28/2020";"3/3/2020";"Brandenburg";"03116";"Drebkau";"Grünstraße";"19";"";"";"12071057";"51,647728";"14,215211";"2394";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/3/2021";"";"";"natürliche Person (ABR939599186195)";"ABR939599186195";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL929526071922";"EEG974619783275";"E41081010000000000000000000271534";"2/28/2020";"748,8";"";"";"";"";""
"SEE903502710326";"SSG Freifläche";"In Betrieb";"Solare Strahlungsenergie";"2865";"2700";"6/28/2012";"3/5/2020";"Sachsen";"01936";"Schwepnitz";"Industriestraße";"20";"";"";"14625550";"51,329256";"13,948396";"12320";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/18/2021";"";"";"Solarpark Schwepnitz GmbH";"ABR983979377253";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL978249158960";"EEG953097454723";"E41874010000000000314101712700001";"6/28/2012";"2865";"";"";"";"";""
"SEE945535658459";"SKV Lübben";"In Betrieb";"Solare Strahlungsenergie";"2234,4";"2131,2";"12/21/2011";"3/5/2020";"Brandenburg";"15907";"Lübben";"Feldstraße";"900 z";"";"";"12061316";"51,928132";"13,888324";"11760";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/4/2020";"";"";"SKV Solarkraftwerk Lübben GmbH&Co.KG";"ABR903339934711";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL922002440793";"EEG961512561925";"E41081010000000000000000000172203";"12/21/2011";"2234,4";"";"";"";"";""
"SEE946086958203";"SKV Lauta";"In Betrieb";"Solare Strahlungsenergie";"2228,1";"1890";"12/7/2010";"3/5/2020";"Sachsen";"02991";"Lauta";"Solarpark";"903";"";"";"14625310";"51,458737";"14,111144";"19200";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/4/2020";"";"";"SKV Solarkraftwerk Lauta GmbH&Co.KG";"ABR946194810639";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL961218699700";"EEG905003160273";"E41081010000000000000000000134759";"12/7/2010";"2228,1";"";"";"";"";""
"SEE931612387350";"Solarpark Seelow Teilanlage 1";"In Betrieb";"Solare Strahlungsenergie";"5708,34";"3185";"10/31/2013";"3/6/2020";"Brandenburg";"15306";"Seelow";"";"";"Seelow";"Flur 8, Flurstücke 153, 152, 151, 99, 98, 97, 81, 79, 63, 59";"12064448";"52,563971";"14,434589";"111276";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/27/2021";"";"";"Ecowerk Solarpark Seelow GmbH & Co. KG";"ABR976370512491";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL912608872159";"EEG963167796257";"";"10/31/2013";"5708,34";"";"";"";"";""
"SEE936763100377";"Landsberg 3.1";"In Betrieb";"Solare Strahlungsenergie";"748,44";"626,4";"2/27/2020";"3/9/2020";"Sachsen-Anhalt";"06188";"Landsberg";"";"";"Peißen, Braschwitz";"Flur 12: 432 (Gemarkung Peißen). Flur 2: 788 (Gemarkung Braschwitz).";"15088195";"51,515505";"12,059294";"2268";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/18/2021";"";"";"ENERPARC Solar Invest 138 GmbH";"ABR969269198807";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL980031591404";"EEG941307843849";"E41081010000000000000000000325482";"2/27/2020";"748,44";"";"";"";"";""
"SEE997114974245";"Landsberg 3.2";"In Betrieb";"Solare Strahlungsenergie";"4554,66";"3758,4";"5/22/2020";"5/26/2020";"Sachsen-Anhalt";"06188";"Landsberg";"";"";"Peißen, Braschwitz";"Flur 12: 1/5, 3/8, 430,432 (Gemarkung Peißen). Flur 2: 788 (Gemarkung Braschwitz).";"15088195";"51,512938";"12,06024";"13802";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"ENERPARC Solar Invest 138 GmbH";"ABR969269198807";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL980031591404";"EEG905318522834";"E41081010000000000000000000304424";"5/22/2020";"4554,66";"Gem18-2/050,";"";"";"";""
"SEE967453062194";"Letschin 2.1";"In Betrieb";"Solare Strahlungsenergie";"748,44";"660";"3/6/2020";"3/13/2020";"Brandenburg";"15324";"Letschin";"";"";"Letschin";"Flur 6: 265, 266, 268.";"12064190";"52,642734";"14,33009";"2268";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/3/2020";"";"";"ENERPARC Solar Invest 125 GmbH";"ABR973395202901";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL939254863614";"EEG952664300296";"";"3/6/2020";"748,44";"";"";"";"";""
"SEE953259661389";"Letschin 2.2";"In Betrieb";"Solare Strahlungsenergie";"4587,66";"4180";"3/17/2020";"3/18/2020";"Brandenburg";"15324";"Letschin";"";"";"Letschin";"Flur 5: 265, 266, 268.";"12064190";"52,640974";"14,334818";"13902";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/18/2020";"";"";"ENERPARC Solar Invest 125 GmbH";"ABR973395202901";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL939254863614";"EEG939907104965";"";"3/17/2020";"4587,66";"Gem18-1/023,";"";"";"";""
"SEE978656850167";"Solarpark Pöhl";"In Betrieb";"Solare Strahlungsenergie";"2358,125";"2000";"11/30/2013";"3/6/2020";"Sachsen";"08543";"Pöhl";"";"";"Herlasgrün";"62/9, 74/1, 89";"14523330";"50,570448";"12,221314";"26950";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/11/2021";"";"";"Ecowerk Solarpark Pöhl GmbH & Co. KG";"ABR961142826029";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL936307015785";"EEG997264488470";"E41081010000000000000000000202851";"11/30/2013";"2358,125";"";"";"";"";""
"SEE960397977203";"Sol Lönnewitz I-VI";"In Betrieb";"Solare Strahlungsenergie";"5010,72";"4320";"6/30/2010";"3/6/2020";"Brandenburg";"04895";"Koßdorf";"Grassauer Straße";"900";"";"";"12062128";"51,55304";"13,218473";"22800";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/29/2020";"";"";"Chaori Solarpark Lönnewitz GmbH & Co. KG";"ABR947263571765";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL932086462505";"EEG948814680608";"E41081010000000000000000000143387";"6/30/2010";"5010,72";"";"";"";"";""
"SEE996904519475";"Solarpark Großenhain";"In Betrieb";"Solare Strahlungsenergie";"3032,15";"2000";"9/25/2013";"3/6/2020";"Sachsen";"01561";"Großenhain";"";"";"Nasseböhla";"181, 184, 185, 188, 189, 192/2, 194";"14627060";"51,33564";"13,51906";"32780";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/1/2021";"";"";"Ecowerk Solarpark Großenhain GmbH & Co. KG";"ABR932797355189";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL909182599770";"EEG975591634838";"E41874010000000000314102333600001";"9/25/2013";"3032,15";"";"";"";"";""
"SEE993491855184";"Solarpark Burg";"In Betrieb";"Solare Strahlungsenergie";"7107,375";"5400";"4/29/2013";"3/6/2020";"Sachsen-Anhalt";"39288";"Burg";"";"";"Burg";"Flur 36, Flurstücke 10169, 10290, 387/33, 386/32, 390/35";"15086015";"52,257209";"11,871402";"94350";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/6/2020";"";"";"Ecowerk Solarpark Burg GmbH & Co. KG";"ABR974737880627";"Volleinspeisung";"";"Stadtwerke Burg Energienetze GmbH (SNB927160517950)";"SNB927160517950";"Geprüft";"Mittelspannung";"SEL962657402616";"EEG982990145605";"";"4/29/2013";"7107,375";"";"";"";"";""
"SEE972653488385";"Solarpark Freienhufen-Süd";"In Betrieb";"Solare Strahlungsenergie";"3194,84";"3194,84";"12/31/2016";"3/16/2020";"Brandenburg";"01983";"Großräschen";"Am Birkenhain";"900 z";"";"";"12066112";"51,578106";"13,982135";"12056";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/22/2020";"";"";"natürliche Person (ABR944187147083)";"ABR944187147083";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL959794935985";"EEG924480037205";"E41081010000000000000000000236829";"12/31/2016";"3194,84";"";"";"";"";""
"SEE902207071008";"PVA Kyritz";"In Betrieb";"Solare Strahlungsenergie";"1734,6";"1522";"5/30/2014";"3/9/2020";"Brandenburg";"16866";"Kyritz";"Pritzwalker Straße";"";"";"";"12068264";"52,952244";"12,39107";"7080";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/6/2020";"";"";"DSW Solar 15 GmbH & Co KG";"ABR915243810968";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL991764674722";"EEG999518160736";"E4186001SZP0000000000068455400002";"5/30/2014";"1734,6";"";"";"";"";""
"SEE973883749253";"Solarpark Königsbrück";"In Betrieb";"Solare Strahlungsenergie";"11956,8";"11956,8";"9/24/2012";"3/9/2020";"Sachsen";"01936";"Königsbrück";"Hoyerswerdaer Straße";"";"";"";"14625270";"51,287139";"13,894278";"49820";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/8/2021";"";"";"FP Lux Solar GmbH & Co. Königsbrück KG";"ABR933639176153";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL974056454936";"EEG965207570483";"E41874010000000000314101698600001";"9/24/2012";"11956,8";"";"";"";"";""
"SEE912784098930";"Solarpark Köthen 10";"In Betrieb";"Solare Strahlungsenergie";"7400,94";"6941";"6/29/2012";"3/9/2020";"Sachsen-Anhalt";"06388";"Gröbzig";"Solarpark";"902";"";"";"15082377";"51,72116";"11,949889";"29308";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"FP Lux Solar GmbH & Co. Köthen KG";"ABR921579067938";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL902929464461";"EEG955020865033";"E41081010000000000000000000185079";"6/29/2012";"7400,94";"";"";"";"";""
"SEE980762058313";"Solarpark Köthen 2";"In Betrieb";"Solare Strahlungsenergie";"5004,135";"4434,8";"8/19/2011";"3/9/2020";"Sachsen-Anhalt";"06366";"Köthen";"Am Flugplatz";"901";"";"";"15082180";"51,722917";"11,957111";"26601";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"FP Lux Solar GmbH & Co. Köthen KG";"ABR921579067938";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL902929464461";"EEG981226495866";"E41081010000000000000000000174742";"8/19/2011";"5004,135";"";"";"";"";""
"SEE926947725496";"Solar Draschwitz GmbH & Co. KG";"In Betrieb";"Solare Strahlungsenergie";"5247";"4464,81";"12/15/2016";"3/10/2020";"Sachsen-Anhalt";"06729";"Elsteraue";"";"";"Draschwitz";"2, 27/7";"15084130";"51,103274";"12,176871";"19800";"";"";"";"";"";"";"";"";"";"Freifläche";"3/11/2021";"";"";"Solar Draschwitz GmbH & Co. KG";"ABR975501683130";"Volleinspeisung";"SGE958191909391";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL964116090242";"EEG971994278983";"E41081010000000000000000000242668";"12/15/2016";"5247";"";"";"";"";""
"SEE934538069348";"Solarpark Köthen 3";"In Betrieb";"Solare Strahlungsenergie";"5324,055";"4678";"10/13/2010";"3/9/2020";"Sachsen-Anhalt";"06366";"Köthen";"Am Flugplatz";"901";"";"";"15082180";"51,723389";"11,963583";"23679";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"FP Lux Solar GmbH & Co. Köthen KG";"ABR921579067938";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL902929464461";"EEG995990187773";"E41081010000000000000000000134802";"10/13/2010";"5324,055";"";"";"";"";""
"SEE950187537618";"Solarpark Köthen 4";"In Betrieb";"Solare Strahlungsenergie";"12704,39";"11652";"12/16/2010";"3/10/2020";"Sachsen-Anhalt";"06366";"Köthen";"Am Flugplatz";"901";"";"";"15082180";"51,723361";"11,972667";"60524";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/20/2022";"";"";"FP Lux Solar GmbH & Co. Köthen KG";"ABR921579067938";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL902929464461";"EEG943982664214";"E41081010000000000000000000165973";"12/16/2010";"12704,39";"";"";"";"";""
"SEE996081535329";"Solarpark Köthen 6.2";"In Betrieb";"Solare Strahlungsenergie";"4560,83";"4140";"9/8/2011";"3/10/2020";"Sachsen-Anhalt";"06366";"Köthen";"Am Flugplatz";"901";"";"";"15082180";"51,722917";"11,957111";"23729";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"FP Lux Solar GmbH & Co. Köthen KG";"ABR921579067938";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL902929464461";"EEG976478766055";"E41081010000000000000000000174738";"9/8/2011";"4560,83";"";"";"";"";""
"SEE927057280349";"Solarpark Krempendorf I";"In Betrieb";"Solare Strahlungsenergie";"24336,4";"22478,4";"9/28/2012";"3/11/2020";"Brandenburg";"16945";"Marienfließ";"";"";"Krempendorf";"Flur5: 82/2, 82/3, 82/4, 82/5, 82/6, 83, 152/1, 163/1";"12070266";"53,337139";"12,200028";"101024";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/25/2020";"";"";"FP Lux Solar GmbH & Co. Krempendorf KG";"ABR962491270815";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL965149911467";"EEG984750397491";"E4186001SZP0000000000040611900001";"9/28/2012";"24336,4";"";"";"";"";""
"SEE928122353036";"Scheunengiebel";"In Betrieb";"Solare Strahlungsenergie";"3,74";"3";"12/22/2006";"3/11/2020";"Brandenburg";"03096";"Burg";"";"";"";"";"12071032";"";"";"22";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/11/2020";"";"";"natürliche Person (ABR967175670608)";"ABR967175670608";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL952055751140";"EEG925481672518";"E41081010000000000000000000033547";"12/22/2006";"3,74";"";"";"";"";""
"SEE992187738046";"Solarpark Krempendorf II";"In Betrieb";"Solare Strahlungsenergie";"9999,48";"7866";"4/28/2015";"3/11/2020";"Brandenburg";"16945";"Marienfließ";"Waldhofer Weg";"34";"";"";"12070266";"53,2";"12,12";"39330";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/18/2021";"";"";"FP Lux Solar GmbH & Co. Krempendorf KG";"ABR962491270815";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL965149911467";"EEG932383708191";"E4186001EA01000000000073994500001";"4/28/2015";"9999,48";"";"";"";"";""
"SEE956652528389";"PV-Rechte_Barleben";"In Betrieb";"Solare Strahlungsenergie";"749,76";"687,5";"3/27/2020";"6/8/2020";"Sachsen-Anhalt";"39179";"Barleben";"";"";"Ebendorf";"Flur3: 5-6, 5-4, 5-3, 5-2";"15083040";"52,172915";"11,564797";"2343";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/8/2020";"";"";"Solaranlagen RW 2018 GmbH & Co. KG";"ABR908405783767";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL940493170890";"EEG977967021877";"";"3/27/2020";"749,76";"";"";"";"";""
"SEE930597334762";"Solarpark Arnstedt";"In Betrieb";"Solare Strahlungsenergie";"3871,12";"3762";"10/10/2016";"3/16/2020";"Sachsen-Anhalt";"06456";"Arnstein";"";"";"Arnstedt";"Flur: Flurstück 3";"15085110";"51,679352";"11,499123";"14608";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/25/2022";"";"";"Envalue Solarpark 14 KG";"ABR976791451324";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL984381644858";"EEG990564329320";"E41081010000000000000000000235246";"10/10/2016";"3871,12";"";"";"";"";""
"SEE901477296463";"Solarpark Vetschau-Süd";"In Betrieb";"Solare Strahlungsenergie";"3147,12";"3000";"8/31/2015";"3/16/2020";"Brandenburg";"03226";"Vetschau";"";"";"Raddusch, Göritz";"Flur1: 050/4, 134, 137, 138/1, 144, 146, 147/3, 150, 151, 157/3, 158/5, 159/5, 161/5, 162/5, 438.";"12066320";"51,804173";"14,037815";"10152";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/17/2020";"";"";"Envalue Solarpark 7 KG";"ABR978829214031";"Volleinspeisung";"";"Stadt- und Überlandwerke GmbH Luckau-Lübbenau (SNB922689183730)";"SNB922689183730";"Geprüft";"Mittelspannung";"SEL964179883881";"EEG903165711708";"E4043001So00000000000002465500001";"8/31/2015";"3147,12";"";"";"";"";""
"SEE929652286870";"FANGANA Mobilien Verwaltungsgesellschaft mbH Teil 2";"In Betrieb";"Solare Strahlungsenergie";"4208,51";"4000";"5/4/2010";"3/12/2020";"Brandenburg";"03159";"Neiße-Malxetal";"";"";"Jocksdorf";"Flur 5: Flurstück 87";"12071153";"51,6575";"14,61472";"54804";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/15/2020";"";"";"FANGANA Mobilien-Verwaltungsgesellschaft mbH";"ABR941950345363";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL945138601999";"EEG959027476711";"E41081010000000000000000000139242";"5/3/2010";"4208,51";"";"";"";"";""
"SEE910776868493";"PVA Auerbach";"In Betrieb";"Solare Strahlungsenergie";"749,835";"726";"2/28/2020";"3/12/2020";"Sachsen";"08209";"Auerbach";"Göltzschtalblick";"6 z";"";"";"14523020";"50,51847";"12,384164";"2631";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/15/2021";"";"";"Sonnenstrom Sachsen I GmbH & Co.KG";"ABR919600678246";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL985445293784";"EEG917562988090";"E41081010000000000000000000320592";"2/28/2020";"749,835";"";"";"";"";""
"SEE993792563740";"Solarpark Luckau 1";"In Betrieb";"Solare Strahlungsenergie";"5409,6";"5280";"12/20/2011";"3/16/2020";"Brandenburg";"15926";"Luckau";"Luckauer Landstraße";"1 z";"";"";"12061320";"51,866611";"13,790333";"22080";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/15/2022";"";"";"FP Lux Solar GmbH & Co. Luckau KG";"ABR983292900695";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL985003019443";"EEG951302744010";"E41081010000000000000000000163600";"12/20/2011";"5409,6";"";"";"";"";""
"SEE911299885561";"Solarpark Luckau 2";"In Betrieb";"Solare Strahlungsenergie";"5409,6";"5280";"12/20/2011";"3/16/2020";"Brandenburg";"15926";"Luckau";"Frederik-Ipsen-Straße";"";"";"";"12061320";"51,866611";"13,790333";"22080";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/15/2022";"";"";"FP Lux Solar GmbH & Co. Luckau KG";"ABR983292900695";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL985003019443";"EEG947310675422";"E41081010000000000000000000179610";"12/20/2011";"5409,6";"";"";"";"";""
"SEE957439552948";"Solarpark Luckau 3";"In Betrieb";"Solare Strahlungsenergie";"5071,5";"4950";"12/20/2011";"3/16/2020";"Brandenburg";"15926";"Luckau";"";"";"Luckau";"2 / 206";"12061320";"51,866611";"13,790333";"20700";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/15/2022";"";"";"FP Lux Solar GmbH & Co. Luckau KG";"ABR983292900695";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL985003019443";"EEG964506499396";"E41081010000000000000000000179611";"12/20/2011";"5071,5";"";"";"";"";""
"SEE976147119182";"Solarpark Luckau 4";"In Betrieb";"Solare Strahlungsenergie";"5071,5";"4950";"12/20/2011";"3/16/2020";"Brandenburg";"15926";"Luckau";"Frederik-Ipsen-Straße";"";"";"";"12061320";"51,866611";"13,790333";"20700";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/15/2022";"";"";"FP Lux Solar GmbH & Co. Luckau KG";"ABR983292900695";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL985003019443";"EEG924612098821";"E41081010000000000000000000179612";"12/20/2011";"5071,5";"";"";"";"";""
"SEE922107511459";"PVA Altendorfer Str.94 Chemnitz III";"In Betrieb";"Solare Strahlungsenergie";"2100";"1053";"3/18/2020";"3/18/2020";"Sachsen";"09113";"Chemnitz";"Altendorfer Straße";"94";"";"";"14511000";"50,841391";"12,891001";"7500";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/20/2022";"";"";"natürliche Person (ABR995181692918)";"ABR995181692918";"Volleinspeisung";"";"inetz GmbH (SNB916663914472)";"SNB916663914472";"Geprüft";"Mittelspannung";"SEL916022936206";"EEG928474987071";"E41893010000000000001049892600001";"3/18/2020";"2100";"SOL19-2/024,";"";"";"";""
"SEE984149772519";"Garten Insel Anlage";"In Betrieb";"Solare Strahlungsenergie";"1,2";"1,2";"5/22/2020";"3/17/2021";"Sachsen";"09355";"Gersdorf";"";"";"";"";"14524070";"";"";"4";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/27/2021";"";"";"natürliche Person (ABR957902235668)";"ABR957902235668";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL983222671992";"EEG935034704580";"";"5/22/2020";"1,6";"";"";"";"";""
